,POI,lat,long
403,bus,51.592201,-0.315274
404,bus,51.593365,-0.31129
405,bus,51.58725,-0.303664
406,bus,51.594452,-0.30507
407,bus,51.594677,-0.304268
408,bus,51.59557,-0.298344
409,bus,51.591908,-0.31631
410,bus,51.59593599999999,-0.312523
411,bus,51.596729,-0.303845
412,bus,51.59949779999999,-0.2957703
413,bus,51.590061,-0.308438
414,bus,51.595634,-0.295439
415,school,51.5915146,-0.2957608
416,school,51.594447,-0.2968309
417,school,51.595111,-0.3144301
418,school,51.595623,-0.3150312
419,school,51.5996554,-0.3022946
420,school,51.5940229,-0.2970956
421,bar,51.5958797,-0.2962268
422,bar,51.600848,-0.3181075
423,cafe,51.598553,-0.3034494
424,cafe,51.6016647,-0.3184557
425,cafe,51.6007,-0.3181
426,bank,51.59629169999999,-0.294252
427,bank,51.60091,-0.3168584
428,bank,51.6008345,-0.3169098
429,post,51.5956871,-0.3127014
430,post,51.59545790000001,-0.2950318
431,post,51.5954709,-0.295021
432,shopping mall,51.5955387,-0.29579
433,homeless shelter,51.59033429999999,-0.3142084
434,parking,51.6002669,-0.3168803
435,parking,51.60150549999999,-0.3192391
436,"atm,",51.5954686,-0.2950187
437,park,51.5955285,-0.316273
438,park,51.59925639999999,-0.3045412
439,park,51.5971185,-0.3033447
440,market,51.6009631,-0.3168329
441,soccer field,51.5976724,-0.3041437
442,soccer field,51.5977804,-0.3044978
443,library,51.5926463,-0.3110346
444,library,51.5929815,-0.3110605
445,restaurant,51.6075988,-0.2956237
446,restaurant,51.6076136,-0.2952291
447,restaurant,51.6063835,-0.3007961
448,restaurant,51.6076037,-0.295493
449,restaurant,51.60758730000001,-0.2959299
450,restaurant,51.60600880000001,-0.3004646
451,restaurant,51.6064057,-0.3008063
452,restaurant,51.6076084,-0.2953667
453,restaurant,51.6017492,-0.3177048
454,restaurant,51.601249,-0.318911
455,restaurant,51.6011446,-0.3184171
456,restaurant,51.6046376,-0.2965669
457,restaurant,51.60123900000001,-0.3189265
458,groceries,51.6053741,-0.2962838
459,groceries,51.6076048,-0.2954636
460,groceries,51.6076084,-0.2960797
461,groceries,51.6040982,-0.2967648
462,groceries,51.6008617,-0.318335
463,church,51.60923270000001,-0.3088693
464,church,51.614526,-0.3063874
465,church,51.61377,-0.3040211
466,bus,51.611172,-0.311394
467,bus,51.600719,-0.30667
468,bus,51.612759,-0.312158
469,bus,51.607239,-0.300059
470,bus,51.610657,-0.310518
471,bus,51.600189,-0.296265
472,bus,51.60508,-0.310364
473,bus,51.602154,-0.297087
474,bus,51.60133399999999,-0.296915
475,bus,51.605339,-0.307841
476,bus,51.602596,-0.314153
477,bus,51.601471,-0.307278
478,bus,51.602596,-0.307193
479,bus,51.605316,-0.307626
480,bus,51.603069,-0.313355
481,bus,51.60614,-0.307913
482,bus,51.606037,-0.30627
483,bus,51.605991,-0.30698
484,school,51.6064751,-0.3085483
485,school,51.6076274,-0.3037795
486,school,51.60847620000001,-0.3036894
487,school,51.6074131,-0.3038484
488,school,51.6147956,-0.2974081
489,school,51.608867,-0.293705
490,school,51.606642,-0.309488
491,school,51.61352429999999,-0.3132729
492,university,51.6125218,-0.3105186
493,university,51.6051224,-0.2968565
494,bar,51.61022990000001,-0.3139391
495,cafe,51.6128699,-0.2964602
496,bank,51.60759969999999,-0.2961533
497,bank,51.6052701,-0.2972425
498,post,51.6046418,-0.2953548
499,gym,51.6148347,-0.2988419
500,gym,51.611147,-0.2945245
501,museum,51.6066243,-0.3085953
502,train,51.607601,-0.2946105
503,parking,51.6091826,-0.2947618
504,"atm,",51.6013733,-0.3171684
505,park,51.60387919999999,-0.30105
506,park,51.6078345,-0.3009078
507,park,51.6112979,-0.2933156
508,park,51.6126107,-0.2949991
509,market,51.6046719,-0.3060102
510,market,51.6033706,-0.2973232
511,restaurant,51.6177482,-0.3101667
512,restaurant,51.6179273,-0.3119351
513,restaurant,51.6180602,-0.3113168000000001
514,restaurant,51.6188449,-0.3130791
515,restaurant,51.6172404,-0.3128954
516,restaurant,51.6176535,-0.309126
517,restaurant,51.6211321,-0.3168606
518,restaurant,51.62100299999999,-0.3157899
519,restaurant,51.6180388,-0.3031225
520,restaurant,51.6177922,-0.31103
521,restaurant,51.6178165,-0.3094407
522,restaurant,51.617795,-0.310887
523,restaurant,51.6173435,-0.3119419
524,restaurant,51.6174396,-0.3116636
525,restaurant,51.6174312,-0.3125792
526,restaurant,51.6168217,-0.313136
527,restaurant,51.6177228,-0.3102735
528,restaurant,51.61682649999999,-0.3130252
529,restaurant,51.6166412,-0.3134872
530,restaurant,51.6214203,-0.2933291
531,groceries,51.6174901,-0.3097746
532,groceries,51.6173388,-0.3108095
533,groceries,51.6186066,-0.3081982
534,groceries,51.61745459999999,-0.3097509
535,church,51.61627240000001,-0.3155173
536,church,51.617569,-0.3128862
537,bus,51.6197393,-0.3029629
538,bus,51.616322,-0.314857
539,bus,51.61937,-0.313517
540,bus,51.620903,-0.316349
541,bus,51.6174982,-0.3099399
542,bus,51.61736399999999,-0.3124702
543,bus,51.613132,-0.312578
544,bus,51.617786,-0.309141
545,bus,51.62063999999999,-0.315708
546,bus,51.6200722,-0.302833
547,bus,51.6164857,-0.3153133
548,bus,51.615219,-0.306506
549,bus,51.625412,-0.296793
550,bus,51.614677,-0.313127
551,bus,51.62148999999999,-0.293748
552,bus,51.62285199999999,-0.293812
553,bus,51.621422,-0.294516
554,bus,51.6208,-0.298223
555,school,51.6178294,-0.2982113
556,school,51.6143122,-0.3061773
557,school,51.620551,-0.318341
558,school,51.62139,-0.3188814
559,school,51.61769779999999,-0.3090232
560,school,51.6209673,-0.2990382
561,school,51.6270859,-0.3164388
562,school,51.6193208,-0.3131961
563,school,51.6137758,-0.3104749
564,school,51.61774680000001,-0.3107522
565,school,51.616248,-0.295947
566,bar,51.6173362,-0.31165
567,cafe,51.617569,-0.3095544
568,cafe,51.6177842,-0.3095627
569,cafe,51.6173601,-0.3119594
570,cafe,51.6176437,-0.309232
571,cafe,51.6175953,-0.3120532
572,cafe,51.6213778,-0.293573
573,cafe,51.6191048,-0.312928
574,bank,51.61748739999999,-0.3110896
575,bank,51.61748619999999,-0.3108171
576,bank,51.61779629999999,-0.3099123
577,post,51.6174431,-0.3116406
578,post,51.6214342,-0.2929603
579,post,51.617248,-0.3121329
580,post,51.62139999999999,-0.293
581,gym,51.6179258,-0.3119459
582,gym,51.6267271,-0.3193042
583,gym,51.61482290000001,-0.2988495
584,train,51.6196644,-0.3030833
585,parking,51.6203595,-0.3104509
586,parking,51.6185668,-0.3012161
587,"atm,",51.61748780000001,-0.3108345
588,park,51.6237796,-0.302702
589,park,51.6159112,-0.3132522
590,park,51.6171197,-0.2934618
591,market,51.6177523,-0.3087154
592,market,51.6188933,-0.3131698
593,library,51.6183102,-0.311785
594,restaurant,51.63927289999999,-0.3088451
595,restaurant,51.6376743,-0.3040828
596,groceries,51.6376106,-0.3039647
597,bus,51.637939,-0.303723
598,bus,51.640366,-0.311003
599,bus,51.63958,-0.302144
600,bus,51.632122,-0.304431
601,bus,51.640327,-0.301669
602,bus,51.6314167,-0.3167259000000001
603,hotel,51.6393204,-0.3088408
604,university,51.63129319999999,-0.307428
605,cafe,51.6306883,-0.3120635
606,cafe,51.6392754,-0.308728
607,gym,51.6393515,-0.3091568
608,gym,51.6306802,-0.3120528
609,parking,51.6278567,-0.3126011
610,parking,51.639611,-0.308645
611,"atm,",51.6376071,-0.3039667
612,park,51.6369014,-0.2969519
613,park,51.6278583,-0.3135134
614,library,51.63153699999999,-0.3065609
615,restaurant,51.6433145,-0.2991847
616,restaurant,51.6433429,-0.3085128
617,restaurant,51.64251059999999,-0.3034994
618,church,51.6450165,-0.2976541
619,bus,51.644169,-0.298562
620,bus,51.649235,-0.296826
621,bus,51.642532,-0.2999100000000001
622,bus,51.644081,-0.301861
623,bus,51.643139,-0.316363
624,bus,51.642857,-0.310549
625,bus,51.643887,-0.307114
626,bus,51.644474,-0.298464
627,bus,51.63972099999999,-0.308686
628,school,51.6447745,-0.2963025
629,school,51.64460709999999,-0.298148
630,school,51.6423841,-0.3048946
631,school,51.6497487,-0.3165119
632,bar,51.6456047,-0.2977546
633,bar,51.642053,-0.314126
634,cafe,51.6498778,-0.3163283
635,cafe,51.6479238,-0.3169708
636,gym,51.6426676,-0.3164217
637,gym,51.64284259999999,-0.3168319
638,park,51.6426113,-0.3149035
639,park,51.6515284,-0.3156068
640,park,51.64889119999999,-0.3168534
641,park,51.6492324,-0.2954591
642,market,51.6484621,-0.3066254
643,restaurant,51.6586076,-0.3036067
644,restaurant,51.6579066,-0.3185951
645,bus,51.6609344,-0.3124476
646,school,51.6547048,-0.311669
647,school,51.6548732,-0.3158919000000001
648,school,51.65905610000001,-0.3157556
649,school,51.6551748,-0.3153371
650,school,51.6542751,-0.3099377
651,bus,51.675041,-0.301035
652,bus,51.667271,-0.292418
653,bus,51.667522,-0.292886
654,bus,51.66703,-0.29263
655,school,51.6704638,-0.3099386
656,school,51.66960359999999,-0.3060054
657,university,51.6725156,-0.3181499
658,gym,51.6764387,-0.3109145
659,gym,51.6727054,-0.2986626
660,restaurant,51.56153699999999,-0.2817725
661,restaurant,51.55936939999999,-0.2804066
